population,NofCrime,Nof5CategoryCrime,NofOtherCrime,midnightCrime,morningCrime,dayCrime,nightCrime,bad_health,bad_health_range,bad_health_range10
2982,338,156,50,32,69,133,104,11.2,2,4
3410,83,46,23,10,18,37,18,11.1,2,4
5213,150,80,36,16,39,49,46,11.3,2,4
5859,447,148,36,18,64,246,119,9.7,2,3
3375,248,128,38,29,50,86,83,10.1,2,3
4490,221,87,25,18,48,96,59,10.5,2,3
7087,202,122,44,19,50,71,62,12.2,2,4
4786,146,86,36,20,19,53,54,11.3,2,4
7560,328,187,73,34,65,129,100,12.3,2,4
3558,111,67,22,8,41,36,26,11.9,2,4
2828,89,46,13,5,25,32,27,10.1,2,3
3787,59,36,10,6,14,26,13,10.2,2,3
3069,142,91,37,18,32,47,45,10.2,2,3
4316,202,113,43,19,46,69,68,10.7,2,4
2113,35,18,7,5,11,10,9,10.8,2,4
3894,72,48,19,7,17,31,17,10.9,2,4
6655,214,117,57,30,48,66,70,13.8,3,5
4667,399,215,95,48,85,123,143,15.1,3,5
3661,111,70,21,7,27,42,35,11.6,2,4
2201,159,83,31,16,33,74,36,10,2,3
4006,198,121,39,18,45,80,55,11.5,2,4
5473,359,194,82,43,86,131,99,10.9,2,4
3947,162,86,28,16,33,83,30,10.9,2,4
5543,295,119,47,26,52,122,95,11.7,2,4
6109,145,87,24,15,23,47,60,14.8,3,5
6057,94,51,13,9,24,32,29,13.1,3,4
5046,71,42,18,6,23,27,15,9.6,2,3
2776,136,76,38,17,23,46,50,7,1,2
4444,60,30,10,8,15,20,17,10.1,2,3
6437,211,124,41,38,42,65,66,10.2,2,3
4828,215,113,40,16,30,102,67,10,2,3
4156,150,89,25,8,34,57,51,11.7,2,4
4351,318,149,79,34,49,114,121,18.1,4,6
5776,119,60,33,10,31,39,39,13,3,4
3188,319,185,77,42,54,112,111,15.8,3,5
2913,134,62,34,22,23,50,39,17.7,4,6
4796,66,38,11,7,17,25,17,10.7,2,4
2631,81,36,19,11,17,22,31,12.1,2,4
4352,183,97,42,16,39,70,58,18.1,4,6
2471,65,40,15,5,23,23,14,11.5,2,4
3851,133,94,28,20,32,46,35,9.9,2,3
4914,217,96,26,15,44,89,69,11.2,2,4
3512,205,110,34,26,42,66,71,10.6,2,4
4279,149,82,26,17,30,49,53,12.9,2,4
3442,330,154,95,49,57,112,112,20.3,4,7
3636,208,108,55,25,37,55,91,22.4,5,8
2830,222,121,80,27,36,69,90,19.4,4,7
4028,132,72,27,19,25,46,42,18.9,4,7
4052,257,140,105,28,68,74,87,18.2,4,6
5641,127,53,33,22,24,42,39,16.9,3,6
4038,169,86,33,26,43,55,45,13.4,3,5
7210,145,68,50,17,25,44,59,16.7,3,6
4137,137,65,32,15,32,49,41,14.2,3,5
4707,122,59,28,15,33,41,33,16.4,3,6
3871,211,101,38,32,45,58,76,15.1,3,5
4694,91,44,18,13,16,29,33,16.1,3,6
3884,224,127,75,28,51,67,78,19.1,4,7
2719,146,69,24,18,20,54,54,15.6,3,5
3180,107,50,21,17,22,33,35,18.7,4,7
4987,112,53,27,19,25,33,35,16.2,3,6
5045,149,86,31,17,34,45,53,13.7,3,5
6108,158,84,28,18,32,45,63,13.5,3,5
4940,212,116,41,22,48,65,77,12.9,2,4
2844,141,70,25,18,19,57,47,16.9,3,6
4057,79,39,20,12,16,29,22,19.6,4,7
2675,342,187,86,39,62,136,105,21.3,5,7
3287,163,87,64,14,29,39,81,21.4,5,8
2310,609,239,80,34,94,287,194,18.6,4,6
2812,53,28,16,7,12,15,19,18.8,4,7
4417,287,174,106,40,69,78,100,19.1,4,7
3818,174,108,47,32,21,51,70,19.2,4,7
4838,134,69,42,19,22,52,41,19.8,4,7
5531,92,54,24,15,12,28,37,12.9,2,4
6272,228,136,50,25,34,83,86,14.8,3,5
4989,151,86,23,26,32,50,43,14.3,3,5
3741,105,53,16,15,20,32,38,15.1,3,5
2932,308,146,52,38,60,91,119,15.8,3,5
2721,159,79,34,15,40,66,38,15,3,5
3122,140,79,21,19,25,44,52,16,3,6
2365,156,72,15,8,36,55,57,15.4,3,5
5293,260,138,72,29,44,92,95,16.4,3,6
3005,135,92,17,25,23,54,33,11.3,2,4
3942,318,167,85,56,45,90,127,16.8,3,6
3525,175,105,31,18,39,52,66,15.8,3,5
4110,101,56,25,18,21,28,34,16,3,6
5446,125,59,19,13,35,36,41,12.2,2,4
5000,142,77,34,17,29,48,48,16.2,3,6
2833,157,79,31,26,34,57,40,17.3,4,6
2439,98,50,28,17,18,35,28,18.9,4,7
4141,89,42,27,13,21,32,23,17.2,4,6
3794,222,128,52,33,42,69,78,20.3,4,7
5050,245,138,43,26,39,103,77,17,4,6
4580,142,66,41,16,30,50,46,18.9,4,7
3432,157,80,27,21,34,48,54,16.3,3,6
4165,120,60,28,11,26,46,37,13.5,3,5
4596,167,93,37,24,32,64,47,14.8,3,5
3765,149,85,52,18,23,41,67,18,4,6
3449,268,149,71,37,50,80,101,16.4,3,6
2645,104,53,22,10,16,40,38,17.8,4,6
2945,142,67,36,25,23,44,50,19.1,4,7
4559,94,64,21,20,17,31,26,11.6,2,4
3301,278,138,47,32,44,113,89,14.8,3,5
4687,215,105,43,34,37,63,81,17.8,4,6
4247,214,111,39,28,35,73,78,17.1,4,6
4638,172,99,44,14,31,67,60,17.4,4,6
4753,156,84,40,23,19,50,64,15.4,3,5
2567,223,110,47,25,46,86,66,15.6,3,5
4995,96,48,21,7,20,38,31,13.5,3,5
3332,158,98,35,14,25,57,62,14.1,3,5
4114,304,163,59,31,67,107,99,12.8,2,4
5531,211,96,38,24,53,72,62,12.7,2,4
4500,287,135,46,35,32,123,97,15.7,3,5
2561,112,63,19,20,19,40,33,9.8,2,3
4550,143,76,18,21,25,53,44,9.6,2,3
3549,204,101,49,35,34,58,77,11.3,2,4
2030,278,134,72,49,41,86,102,18.7,4,7
2439,120,60,28,16,21,46,37,15.8,3,5
2658,131,73,30,19,25,41,46,17.1,4,6
3506,267,123,40,22,46,116,83,12.6,2,4
2748,180,104,50,22,35,62,61,17.4,4,6
3071,240,128,48,30,42,83,85,16.2,3,6
4046,116,51,33,24,10,44,38,13.8,3,5
4192,134,77,25,15,35,36,48,11.8,2,4
2779,101,60,21,16,13,35,37,12,2,4
3123,182,111,39,14,36,77,55,9.2,2,3
4796,173,106,26,20,27,86,40,9.9,2,3
2766,198,103,31,33,30,68,67,13.6,3,5
3262,153,91,31,15,47,48,43,12.3,2,4
5431,209,120,31,23,38,77,71,10.2,2,3
3524,191,116,48,24,43,68,56,13,3,4
4750,122,67,35,24,23,46,29,13.9,3,5
4843,371,202,78,51,77,144,99,11.5,2,4
4024,387,241,71,39,81,134,133,7.4,1,2
3544,168,93,26,19,42,51,56,8.8,1,3
3077,177,106,39,28,27,57,65,11.5,2,4
3083,182,109,31,27,29,61,65,10.9,2,4
2657,86,41,7,10,20,30,26,9.7,2,3
4726,203,109,59,28,32,76,67,16.7,3,6
2939,356,209,82,60,62,122,112,16.8,3,6
3573,86,53,31,13,15,36,22,13.8,3,5
5531,161,85,20,9,38,63,51,14.5,3,5
4931,278,163,76,33,52,99,94,19.6,4,7
4460,196,115,55,25,37,64,70,13.4,3,5
5818,154,85,30,31,25,63,35,17.1,4,6
4045,234,108,69,29,56,72,77,17.5,4,6
2938,150,85,39,17,23,53,57,13.7,3,5
2939,260,118,73,48,57,78,77,15.7,3,5
3549,177,103,43,24,26,61,66,14.7,3,5
3164,128,76,27,18,24,36,50,16.2,3,6
3356,191,116,45,21,51,69,50,13,3,4
2991,461,241,119,64,100,163,134,18,4,6
4037,64,35,11,3,14,24,23,17.6,4,6
3933,157,85,35,25,29,59,44,14.9,3,5
3768,163,86,58,26,35,48,54,16.5,3,6
3447,168,87,45,18,41,75,34,16,3,6
4769,326,182,82,33,64,114,115,17.2,4,6
4100,185,103,48,28,24,69,64,14.1,3,5
3738,102,61,20,5,20,36,41,12.8,2,4
4795,418,248,126,46,77,163,132,18.3,4,6
4822,396,215,141,53,96,134,113,20.7,4,7
3011,159,88,40,19,38,44,58,13.3,3,5
4688,245,139,55,26,49,93,77,18.2,4,6
3982,489,233,161,65,113,179,132,22.4,5,8
4114,141,79,32,12,27,58,44,11.1,2,4
4015,274,142,48,26,41,116,91,10.9,2,4
4288,166,85,61,30,26,68,42,15.6,3,5
3189,100,63,21,20,17,31,32,9.4,2,3
5639,395,257,47,24,76,167,128,9.7,2,3
3307,322,185,53,29,70,127,96,8.7,1,3
4325,179,115,48,19,37,59,64,10.1,2,3
4083,136,85,25,16,29,43,48,9.2,2,3
6409,186,96,47,21,41,60,64,15.2,3,5
5698,403,215,85,47,79,158,119,14,3,5
3252,220,111,32,19,58,90,53,11.6,2,4
3429,72,49,8,8,14,20,30,12.3,2,4
4902,173,98,40,22,39,51,61,15,3,5
5897,181,98,38,31,37,51,62,12.8,2,4
5494,211,98,55,25,51,75,60,12.4,2,4
4541,308,155,76,42,69,90,107,15.5,3,5
3751,109,53,32,18,25,35,31,13.8,3,5
5341,291,157,57,34,49,105,103,15.6,3,5
4210,222,118,40,35,56,68,63,13.3,3,5
3202,139,75,19,24,32,43,40,11,2,4
3299,105,56,18,7,25,36,37,13.2,3,4
4259,243,151,51,25,70,92,56,11.9,2,4
5310,154,90,26,23,41,46,44,13.3,3,5
6494,198,106,37,21,45,58,74,15.8,3,5
3763,88,49,22,5,11,29,43,15.5,3,5
3672,208,113,50,28,36,74,70,16.4,3,6
4912,162,78,38,19,42,50,51,17.8,4,6
3461,111,71,16,15,28,44,24,12.1,2,4
4449,147,87,25,17,34,48,48,13.1,3,4
5446,176,101,35,25,35,66,50,14.6,3,5
3765,281,154,85,29,48,110,94,17.9,4,6
3372,100,55,27,13,22,38,27,14.1,3,5
4922,195,101,53,27,44,55,69,16,3,6
4193,102,62,28,9,27,28,38,14.3,3,5
4322,161,94,47,24,28,48,61,12,2,4
4270,149,93,40,17,31,49,52,13,3,4
3732,114,68,24,15,34,37,28,10.4,2,3
5057,152,71,31,20,36,52,44,11.4,2,4
2882,82,52,26,9,17,33,23,13.8,3,5
3847,432,217,104,42,80,173,137,19.7,4,7
3498,132,75,40,12,28,48,44,11,2,4
3941,79,46,22,8,28,28,15,9.9,2,3
4684,125,73,15,15,39,43,28,10.8,2,4
3414,57,38,15,12,15,19,11,10.8,2,4
2887,32,18,3,1,16,9,6,7.9,1,3
5453,215,113,59,24,36,82,73,16.9,3,6
